SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000181,6.4,-1,-1,-1,4,6.5,8.25,6.75,3,N1,,,,,,,,,,
35000182,8.2,7,7.25,4,-1,-1,-1,8.25,5.8,N1,,,,,,,,,,
35000183,7,-1,-1,-1,6.5,7.25,7,8,4.2,N1,,,,,,,,,,
35000184,8,6.75,7.25,3.5,-1,-1,-1,7,3.6,N1,,,,,,,,,,
35000185,7,5.25,5.5,3.5,-1,-1,-1,7.5,3.4,N1,,,,,,,,,,
35000186,7.4,7.5,6,3.5,-1,-1,-1,7.5,5.2,N1,,,,,,,,,,
35000187,6.2,-1,-1,-1,6.25,6,7.25,7.25,4.2,N1,,,,,,,,,,
35000188,2.6,-1,-1,-1,2,4.75,-1,4.5,-1,none,,,,,,,,,,
35000189,7.4,-1,-1,-1,5.75,7.25,7.75,8.25,4.4,N1,,,,,,,,,,
35000190,4.2,-1,-1,-1,3.5,6.25,-1,5.75,-1,none,,,,,,,,,,
35000191,8.4,8.5,6.25,5.25,-1,-1,-1,8.25,8.6,N1,,,,,,,,,,
35000192,6.6,-1,-1,-1,7.25,8,8.75,8.5,4.6,N1,,,,,,,,,,
35000193,7.2,-1,-1,-1,6.75,6.75,8.25,8,7.2,N1,,,,,,,,,,
35000194,7.8,6.75,6.25,3.75,-1,-1,-1,9,5.2,N1,,,,,,,,,,
35000195,7.6,8.25,7.25,5.25,-1,-1,-1,6.5,7.6,N1,,,,,,,,,,
35000196,7.2,-1,-1,-1,6.5,6.25,8,9.5,8.2,N1,,,,,,,,,,
35000197,2.2,-1,-1,-1,4.75,6.5,7.5,8,1.8,N1,,,,,,,,,,
35000198,5.6,3,4,4.25,-1,-1,-1,8.5,4.2,N1,,,,,,,,,,
35000199,7.8,-1,-1,-1,6.25,6.75,8,8.75,6.2,N1,,,,,,,,,,
35000200,8.2,6.75,8.25,7.5,-1,-1,-1,8.75,7.2,N1,,,,,,,,,,
35000201,8.4,7.25,6.75,4.75,-1,-1,-1,7.75,7,N1,,,,,,,,,,
35000202,3.8,-1,-1,-1,3.5,4.75,-1,4.5,-1,none,,,,,,,,,,
