SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35005057,4,-1,-1,-1,3.5,4.5,-1,1.75,-1,none,,,,,,,,,,
35005058,6,-1,-1,-1,5.25,4.75,-1,5.5,-1,none,,,,,,,,,,
35005059,6.6,-1,-1,-1,5.5,4.25,5.75,4.25,6.2,N1,,,,,,,,,,
35005060,4.6,-1,-1,-1,7,6,-1,4.5,-1,none,,,,,,,,,,
35005061,6.6,-1,-1,-1,4.75,5.75,6.75,6.75,4.4,N1,,,,,,,,,,
35005062,5.2,-1,-1,-1,6.75,6.75,7.75,7,4.6,N1,,,,,,,,,,
35005063,6.8,-1,-1,-1,4.5,4.75,-1,6.25,5.4,N1,,,,,,,,,,
35005064,6.2,4.25,7.5,3,-1,-1,-1,6.25,3.2,N1,,,,,,,,,,
35005065,6.2,-1,-1,-1,5.25,6.75,-1,5.25,-1,none,,,,,,,,,,
35005066,5.2,-1,-1,-1,4,4.25,-1,7,-1,none,,,,,,,,,,
35005067,2.8,-1,-1,-1,4.75,5.25,-1,4.25,-1,none,,,,,,,,,,
35005068,6.2,-1,-1,-1,4.5,5.5,-1,5.75,-1,none,,,,,,,,,,
35005069,6.4,-1,-1,-1,3.5,5.75,7.25,7.75,4.2,N1,,,,,,,,,,
35005070,7.2,7.25,5.5,3.5,-1,-1,-1,6.25,5.2,N1,,,,,,,,,,
35005071,7.2,-1,-1,-1,7.5,6.5,8.75,8.25,5.6,N1,,,,,,,,,,
35005072,2.6,-1,-1,-1,3.25,4,-1,1.5,-1,none,,,,,,,,,,
35005073,6.8,-1,-1,-1,7.75,6.5,7.25,5.25,5.6,N1,,,,,,,,,,
35005074,7.2,6.75,7.25,3.75,-1,-1,-1,6.75,6.8,N1,,,,,,,,,,
35005075,2.4,-1,-1,-1,5.5,5.25,-1,3.75,-1,none,,,,,,,,,,
35005076,3.4,-1,-1,-1,5.25,4.25,-1,3.5,-1,none,,,,,,,,,,
35005077,7,5.75,5.25,3.5,-1,-1,-1,5.25,5.4,N1,,,,,,,,,,
35005078,6.2,-1,-1,-1,6,6.75,7.25,7.25,3.8,N1,,,,,,,,,,
35005079,6.2,-1,-1,-1,5.75,6.25,7.5,6.25,4.6,N1,,,,,,,,,,
35005080,8,-1,-1,-1,7,8,7.5,5.5,9.2,N1,,,,,,,,,,
35005081,7.2,4.75,5.25,3.5,-1,-1,-1,4.5,4.2,N1,,,,,,,,,,
35005082,8,6.25,8,4.5,-1,-1,-1,7.5,6.6,N1,,,,,,,,,,
35005083,1.6,-1,-1,-1,2.25,4.75,-1,3,-1,none,,,,,,,,,,
35005084,6.4,-1,-1,-1,4.25,4.75,6.25,5.75,5,N1,,,,,,,,,,
35005085,3.2,-1,-1,-1,4.5,6.25,-1,5.25,-1,none,,,,,,,,,,
35005086,7.8,8,8.5,6.5,-1,-1,-1,6.25,4.8,N1,,,,,,,,,,
35005087,7.2,6.25,3.5,3.25,-1,-1,-1,3.75,6.8,N1,,,,,,,,,,
35005088,3.6,-1,-1,-1,6.5,7,-1,4.5,-1,none,,,,,,,,,,
35005089,5.8,-1,-1,-1,6.75,6.75,6.5,4.5,2,N1,,,,,,,,,,
35005090,3.2,-1,-1,-1,3.25,4,-1,3.75,-1,none,,,,,,,,,,
35005091,6,-1,-1,-1,3.75,6.25,6.75,4.25,4.4,N1,,,,,,,,,,
35005092,6.2,-1,-1,-1,6,6.5,7.5,7.25,3,N1,,,,,,,,,,
35005093,6.4,6.75,2,3.25,-1,-1,-1,4,4.4,N1,,,,,,,,,,
35005094,5.8,4.5,4.25,3.5,-1,-1,-1,6.75,4.6,N1,,,,,,,,,,
35005095,8,-1,-1,-1,8.5,7.75,9.75,6.58,8.6,N1,,,,,,,,,,
35005096,5.8,3.25,3,2.75,-1,-1,-1,4.75,4.2,N1,,,,,,,,,,
35005097,3.8,-1,-1,-1,5.25,5.5,-1,4.25,-1,none,,,,,,,,,,
35005098,7.2,8,8.25,4.5,-1,-1,-1,5.75,4.8,N1,,,,,,,,,,
35005099,3,-1,-1,-1,3.75,5.25,-1,2,-1,none,,,,,,,,,,
35005100,5,-1,-1,-1,4.25,5.25,-1,5.5,-1,none,,,,,,,,,,
35005101,3,-1,-1,-1,5.75,6.75,-1,4,-1,none,,,,,,,,,,
35005102,5.8,-1,-1,-1,5.5,6.5,7.5,6,4.2,N1,,,,,,,,,,
35005103,4.8,-1,-1,-1,6,6.75,7.5,4,3.8,N1,,,,,,,,,,
35005104,8,4,4.25,4.5,-1,-1,-1,7.5,3.8,N1,,,,,,,,,,
35005105,3.4,-1,-1,-1,5.75,5.25,8,7,5.2,N1,,,,,,,,,,
35005106,1.6,-1,-1,-1,2.75,4.25,-1,1.75,-1,none,,,,,,,,,,
35005107,6,5.5,3.5,4,-1,-1,-1,5.75,3.4,N1,,,,,,,,,,
35005108,4.4,4.75,5.5,4.5,-1,-1,-1,6.25,5.6,N1,,,,,,,,,,
35005109,7.6,7.75,7,3,-1,-1,-1,5.75,4,N1,,,,,,,,,,
35005110,2.6,-1,-1,-1,4,6.75,-1,5.25,-1,none,,,,,,,,,,
35005111,2.2,-1,-1,-1,4.25,5.25,-1,3.5,-1,none,,,,,,,,,,
35005112,6.4,-1,-1,-1,4,4.75,7.5,6.5,7.6,N1,,,,,,,,,,
35005113,3,-1,-1,-1,4.75,4.5,-1,4.5,-1,none,,,,,,,,,,
35005114,7.2,-1,-1,-1,6.75,6.75,7.75,5,9.6,N1,,,,,,,,,,
35005115,6.2,-1,-1,-1,4.5,5.5,7.5,6.25,4,N1,,,,,,,,,,
35005116,8.2,-1,-1,-1,4.5,6.5,6.75,6.5,5,N1,,,,,,,,,,
35005117,4.4,-1,-1,-1,2.75,3.25,6.5,6,3.8,N1,,,,,,,,,,
35005118,3.4,-1,-1,-1,2.5,5.25,-1,2.25,-1,none,,,,,,,,,,
35005119,3.6,-1,-1,-1,3.75,5.25,-1,2.75,-1,none,,,,,,,,,,
35005120,7.4,-1,-1,-1,9.5,8.75,9.5,7.25,4,N1,,,,,,,,,,
35005121,5.4,-1,-1,-1,3.5,6.5,-1,4.75,-1,none,,,,,,,,,,
35005122,3.4,-1,-1,-1,3.75,3.75,-1,3,-1,none,,,,,,,,,,
35005123,7.4,5.25,2.75,2.75,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35005124,6.2,3.5,4.75,4.25,-1,-1,-1,7,7.4,N1,,,,,,,,,,
35005125,6.4,-1,-1,-1,6.75,5.25,7,7.75,4.4,N1,,,,,,,,,,
35005126,2.2,-1,-1,-1,2,3.25,-1,3.75,-1,none,,,,,,,,,,
35005127,3.4,-1,-1,-1,3.5,4.25,-1,5,-1,none,,,,,,,,,,
35005128,2.8,-1,-1,-1,5.5,6.25,-1,6,-1,none,,,,,,,,,,
35005129,3.8,-1,-1,-1,5.75,4.5,7.75,6.5,4.8,N1,,,,,,,,,,
35005130,3.6,-1,-1,-1,6.25,5.5,-1,6,-1,none,,,,,,,,,,
35005131,4.2,-1,-1,-1,3.75,6.5,-1,4.75,-1,none,,,,,,,,,,
35005132,2.4,-1,-1,-1,4,5.25,-1,3,-1,none,,,,,,,,,,
35005133,3,-1,-1,-1,6.75,5,7.5,6.5,2.6,N1,,,,,,,,,,
35005134,7.6,-1,-1,-1,4.25,6.75,9,6.75,4,N1,,,,,,,,,,
35005135,7,5.75,6.75,2.75,-1,-1,-1,7.25,4,N1,,,,,,,,,,
35005136,1.6,-1,-1,-1,3.25,4.25,5,3.5,3.2,N1,,,,,,,,,,
35005137,7.4,-1,-1,-1,5,6.25,6,6,6.4,N1,,,,,,,,,,
35005138,5.6,-1,-1,-1,4.25,6,5.75,5.75,5,N1,,,,,,,,,,
35005139,7.2,6.5,5.25,5.25,-1,-1,-1,7.75,5.6,N1,,,,,,,,,,
35005140,8.6,8.25,8.5,5.5,-1,-1,-1,8.25,9.6,N1,,,,,,,,,,
35005141,6.8,-1,-1,-1,9,7.75,9,6,8.4,N1,,,,,,,,,,
35005142,7.4,-1,-1,-1,9.5,7.25,8.25,7.5,3.8,N1,,,,,,,,,,
35005143,8,6,7.25,6,-1,-1,-1,5.25,6.6,N1,,,,,,,,,,
35005144,7.2,-1,-1,-1,9,5.5,8.5,6.5,5.2,N1,,,,,,,,,,
35005145,6.4,-1,-1,-1,4,4.5,6.25,5.75,3.4,N1,,,,,,,,,,
35005146,5.4,-1,-1,-1,5,5.75,7.75,7.25,5,N1,,,,,,,,,,
35005147,7.4,-1,-1,-1,5,6.25,9,8.25,6.8,N1,,,,,,,,,,
35005148,4.2,-1,-1,-1,3.5,6.5,-1,6,-1,none,,,,,,,,,,
35005149,8,7,7.5,5.75,-1,-1,-1,6.75,7.4,N1,,,,,,,,,,
35005150,3,-1,-1,-1,3.5,5,-1,4.5,-1,none,,,,,,,,,,
35005151,6.4,4.5,4.75,4,-1,-1,-1,5.5,8.4,N1,,,,,,,,,,
35005152,5,-1,-1,-1,7,7,8.25,6.25,3,N1,,,,,,,,,,
35005153,7.2,-1,-1,-1,5.75,5.25,7.75,7.75,6.8,N1,,,,,,,,,,
35005154,6.2,-1,-1,-1,8.25,7,8,6.5,4.2,N1,,,,,,,,,,
35005155,6.2,-1,-1,-1,5.5,5.5,6.5,6,5,N1,,,,,,,,,,
35005156,7.2,-1,-1,-1,5.75,7,7.25,6,6.2,N1,,,,,,,,,,
35005157,6,6,5,2.5,-1,-1,-1,7,4.8,N1,,,,,,,,,,
35005158,2.6,-1,-1,-1,3.5,3.25,-1,2.75,-1,none,,,,,,,,,,
35005159,4.4,-1,-1,-1,5.25,6,6.75,5.25,3.6,N1,,,,,,,,,,
35005160,6.8,5,5.25,3,-1,-1,-1,7.25,4.4,N1,,,,,,,,,,
35005161,6.2,-1,-1,-1,3,5.25,5.25,5.5,5.2,N1,,,,,,,,,,
35005162,5.2,-1,-1,-1,5,5,7.5,7.75,3.4,N1,,,,,,,,,,
35005163,5.8,-1,-1,-1,6,7.5,7.5,5.75,4.2,N1,,,,,,,,,,
35005164,6.8,-1,-1,-1,7,7.75,8.75,8.25,4.4,N1,,,,,,,,,,
35005165,4.2,-1,-1,-1,5,5.5,-1,4.25,-1,none,,,,,,,,,,
35005166,5.2,-1,-1,-1,5.25,7.25,6.75,5.5,2.2,N1,,,,,,,,,,
35005167,6.2,-1,-1,-1,6,8.25,7.5,7,4.6,N1,,,,,,,,,,
35005168,7,-1,-1,-1,4.75,7,8.25,8,4.6,N1,,,,,,,,,,
35005169,6,-1,-1,-1,4.75,5.75,7.5,7.5,4.8,N1,,,,,,,,,,
35005170,6,-1,-1,-1,4.75,5,7,7.25,4.6,N1,,,,,,,,,,
35005171,7.6,-1,-1,-1,7,7.75,8.75,8.5,7.6,N1,,,,,,,,,,
35005172,7.4,7,6,4.25,-1,-1,-1,7,5.8,N1,,,,,,,,,,
35005173,5,-1,-1,-1,4.75,5.5,9,8.75,5.6,N1,,,,,,,,,,
35005174,8,-1,-1,-1,7.25,5.75,7.5,6.75,4.4,N1,,,,,,,,,,
35005175,4.6,-1,-1,-1,5.5,5.75,6.5,6.25,2.8,N1,,,,,,,,,,
35005176,4.2,-1,-1,-1,6.5,5.25,6.75,7,4.6,N1,,,,,,,,,,
35005177,8,8,7.25,3.25,-1,-1,-1,4.75,6.2,N1,,,,,,,,,,
35005178,5.6,-1,-1,-1,6.25,5.75,7.5,7,2.6,N1,,,,,,,,,,
35005179,5.4,-1,-1,-1,4.5,5.25,-1,4,-1,none,,,,,,,,,,
35005180,4.6,-1,-1,-1,6,6.25,6.5,4.75,4.2,N1,,,,,,,,,,
35005181,6.6,-1,-1,-1,4.5,6,7.5,6,4.2,N1,,,,,,,,,,
35005182,6.2,-1,-1,-1,4.75,5.5,6.5,8.25,6.2,N1,,,,,,,,,,
35005183,8.2,-1,-1,-1,5,6.25,8,5.75,4.4,N1,,,,,,,,,,
35005184,7.4,4.75,7.5,4.25,-1,-1,-1,7.5,6.8,N1,,,,,,,,,,
35005185,5.2,-1,-1,-1,6,6,7,8,4,N1,,,,,,,,,,
35005186,8,5.25,8,5,-1,-1,-1,8,5.8,N1,,,,,,,,,,
35005187,6.4,-1,-1,-1,5.25,4.75,6.75,8,4.8,N1,,,,,,,,,,
35005188,6,-1,-1,-1,7.5,8.75,8.25,7.5,4,N1,,,,,,,,,,
35005189,6.6,-1,-1,-1,3,5.75,6.25,6.5,4.6,N1,,,,,,,,,,
35005190,6,-1,-1,-1,3.75,3.25,-1,2,-1,none,,,,,,,,,,
35005191,6.8,4.25,6.75,5.5,-1,-1,-1,6.5,3.8,N1,,,,,,,,,,
35005192,4.2,-1,-1,-1,7.25,7.75,7.25,5.75,3.4,N1,,,,,,,,,,
35005193,8.2,-1,-1,-1,6.5,6.75,8.25,7.25,7,N1,,,,,,,,,,
35005194,7,-1,-1,-1,5.5,6.25,8.5,7,4.6,N1,,,,,,,,,,
35005195,7.8,-1,-1,-1,6,6.25,7.75,7,6.4,N1,,,,,,,,,,
35005196,6.6,-1,-1,-1,7.25,6.75,7,8.25,6,N1,,,,,,,,,,
35005197,7.6,-1,-1,-1,7.5,8,8.75,7.25,5.2,N1,,,,,,,,,,
35005198,4.4,-1,-1,-1,4.5,5.75,5.5,8,2.8,N1,,,,,,,,,,
35005199,5.2,6.25,5.25,3.75,-1,-1,-1,6.75,4,N1,,,,,,,,,,
35005200,6.2,-1,-1,-1,9.25,6.75,8,8,5,N1,,,,,,,,,,
35005201,5,3.5,3.25,4.25,-1,-1,-1,7.25,2.4,N1,,,,,,,,,,
35005202,8,7.25,8.25,4.75,-1,-1,-1,6,3.6,N1,,,,,,,,,,
35005203,7.2,-1,-1,-1,8.75,8.25,7.75,7.25,6,N1,,,,,,,,,,
35005204,6.6,-1,-1,-1,7,6.5,6.5,4.75,4.2,N1,,,,,,,,,,
35005205,6.6,-1,-1,-1,8.25,6.75,8,6.75,3,N1,,,,,,,,,,
35005206,6.6,5.75,5,2.75,-1,-1,-1,3.75,2.2,N1,,,,,,,,,,
35005207,6.8,-1,-1,-1,7.5,6.75,-1,6.5,-1,none,,,,,,,,,,
35005208,2.6,-1,-1,-1,5,5.5,-1,2.75,-1,none,,,,,,,,,,
35005209,5.6,-1,-1,-1,4.5,6,6.75,6.25,3.2,N1,,,,,,,,,,
35005210,2.2,-1,-1,-1,4,6,5.75,7,2.6,N1,,,,,,,,,,
35005211,3.4,-1,-1,-1,2,3.75,-1,6.25,-1,none,,,,,,,,,,
35005212,6.8,7,2,4.5,-1,-1,-1,6.25,5.8,N1,,,,,,,,,,
35005213,8.4,-1,-1,-1,3.25,6.5,6.5,5,3.2,N1,,,,,,,,,,
35005214,7.2,7,5.25,3.75,-1,-1,-1,6,4.6,N1,,,,,,,,,,
35005215,6.2,-1,-1,-1,6,4.5,7.25,5.75,4.4,N1,,,,,,,,,,
35005216,3.6,-1,-1,-1,6,4.75,6.75,6.25,3.4,N1,,,,,,,,,,
35005217,6.4,-1,-1,-1,5.25,5.75,6.5,6.25,5.6,N1,,,,,,,,,,
35005218,7.4,5.5,6.75,4.75,-1,-1,-1,7,4.4,N1,,,,,,,,,,
35005219,7.6,-1,-1,-1,4.75,5.75,7.25,6.5,3,N1,,,,,,,,,,
35005220,4.4,-1,-1,-1,4.75,6.5,7.5,5.75,4.4,N1,,,,,,,,,,
35005221,2.8,-1,-1,-1,5.25,4.5,-1,4,-1,none,,,,,,,,,,
35005222,4.2,-1,-1,-1,6.75,6.25,-1,5.25,-1,none,,,,,,,,,,
35005223,5.8,-1,-1,-1,7,5.75,6.75,8,4.2,N1,,,,,,,,,,
35005224,2,-1,-1,-1,2.5,1.75,-1,1.75,-1,none,,,,,,,,,,
35005225,1.6,-1,-1,-1,5.75,5.75,-1,3.25,-1,none,,,,,,,,,,
35005226,1.8,-1,-1,-1,3.5,6.25,-1,2.5,-1,none,,,,,,,,,,
35005227,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35005228,2.6,-1,-1,-1,5.5,6.5,-1,6,-1,none,,,,,,,,,,
35005229,2.4,-1,-1,-1,3.75,5.75,-1,4,-1,none,,,,,,,,,,
35005230,6,6.75,5.5,3.75,-1,-1,-1,7,4.4,N1,,,,,,,,,,
35005231,7.8,-1,-1,-1,5.75,6.75,8.25,6.5,3.8,N1,,,,,,,,,,
35005232,5.8,-1,-1,-1,4.5,5.5,6.75,5.25,5.6,N1,,,,,,,,,,
35005233,2.4,-1,-1,-1,5,5.25,5.75,6.25,2.2,N1,,,,,,,,,,
35005234,3,-1,-1,-1,5.25,4,-1,3.5,-1,none,,,,,,,,,,
35005235,7.4,6.5,7,5.5,-1,-1,-1,8.25,5.4,N1,,,,,,,,,,
35005236,7.8,6.75,7.5,4.25,-1,-1,-1,6.5,4.2,N1,,,,,,,,,,
35005237,6.4,-1,-1,-1,3,5,7.5,5,4.2,N1,,,,,,,,,,
35005238,6.4,-1,-1,-1,8,8,6.25,9,2.6,N1,,,,,,,,,,
35005239,7.6,5.75,6.5,4.75,-1,-1,-1,6.58,6.2,N1,,,,,,,,,,
35005240,6,-1,-1,-1,6.25,5.25,7.75,6.25,2.8,N1,,,,,,,,,,
35005241,7.4,-1,-1,-1,6.5,6.75,8.5,7,2.8,N1,,,,,,,,,,
35005242,7,7,5.25,5.25,-1,-1,-1,7.5,4.8,N1,,,,,,,,,,
35005243,6.6,3.5,6.5,3.25,-1,-1,-1,7.5,4.8,N1,,,,,,,,,,
35005244,6.2,-1,-1,-1,6,5.75,6.75,6,7.4,N1,,,,,,,,,,
35005245,7.8,6.25,7.25,3,-1,-1,-1,7,4.4,N1,,,,,,,,,,
35005246,3.8,-1,-1,-1,4.5,5.5,5.25,7,4.6,N1,,,,,,,,,,
35005247,3.4,-1,-1,-1,5.25,4.5,-1,5.25,-1,none,,,,,,,,,,
35005248,3.8,-1,-1,-1,3.75,4.5,-1,6,-1,none,,,,,,,,,,
35005249,7,7.75,8,2.75,-1,-1,-1,8.75,3,N1,,,,,,,,,,
35005250,5.8,3,3.5,3.5,-1,-1,-1,7.5,5.2,N1,,,,,,,,,,
35005251,8.2,-1,-1,-1,7,7,9.5,8.5,7.2,N1,,,,,,,,,,
35005252,6,-1,-1,-1,6,6,7.5,6.5,6.8,N1,,,,,,,,,,
35005253,5.4,-1,-1,-1,7.75,6.25,8.5,8.25,5,N1,,,,,,,,,,
35005254,6.8,5,6.75,3.75,-1,-1,-1,6,4.8,N1,,,,,,,,,,
35005255,8,7.5,8,4.25,-1,-1,-1,8.5,6.8,N1,,,,,,,,,,
35005256,5.8,-1,-1,-1,4,5.5,7,7.5,5.4,N1,,,,,,,,,,
35005257,8,7.75,7,2.75,-1,-1,-1,7.75,3.8,N1,,,,,,,,,,
35005258,7.4,-1,-1,-1,7,5.25,8.5,7.25,3.4,N1,,,,,,,,,,
35005259,2.6,-1,-1,-1,2.75,4.25,-1,1.5,-1,none,,,,,,,,,,
35005260,6.8,-1,-1,-1,7.5,5.25,4.5,6.5,7.2,N1,,,,,,,,,,
35005261,6.4,5.75,5.5,3.5,-1,-1,-1,8,7.6,N1,,,,,,,,,,
35005262,4.2,-1,-1,-1,8.5,5.75,7.25,5,2.4,N1,,,,,,,,,,
35005263,2,-1,-1,-1,3,4.5,-1,5.25,-1,none,,,,,,,,,,
35005264,7.4,6.25,6.25,2.75,-1,-1,-1,6,5.4,N1,,,,,,,,,,
35005265,8,6.25,7.5,3,-1,-1,-1,6,4.6,N1,,,,,,,,,,
35005266,7,7.25,6.5,3,-1,-1,-1,6.75,5.4,N1,,,,,,,,,,
35005267,7.8,8.5,8.25,2.75,-1,-1,-1,6.75,3.2,N1,,,,,,,,,,
35005268,2.6,-1,-1,-1,5.5,6,-1,4.25,-1,none,,,,,,,,,,
35005269,6.6,4,5.75,5,-1,-1,-1,6.5,2.4,N1,,,,,,,,,,
35005270,5.6,-1,-1,-1,8,7.25,-1,5.5,-1,none,,,,,,,,,,
35005271,5.6,-1,-1,-1,6.5,6.5,-1,6.25,-1,none,,,,,,,,,,
35005272,8.4,7.5,8.5,3.75,-1,-1,-1,5.75,4.2,N1,,,,,,,,,,
35005273,7,7,8,3.75,-1,-1,-1,8.5,1.8,N1,,,,,,,,,,
35005274,7.6,3.5,6.5,4.75,-1,-1,-1,5.5,4.2,N1,,,,,,,,,,
35005275,6.4,6.25,6.5,6,-1,-1,-1,6,-1,none,,,,,,,,,,
35005276,2.8,-1,-1,-1,3.25,3,-1,2.75,-1,none,,,,,,,,,,
35005277,2.2,-1,-1,-1,3.75,3.5,-1,1.5,-1,none,,,,,,,,,,
35005278,2.8,-1,-1,-1,2.5,3,-1,2.25,-1,none,,,,,,,,,,
35005279,5.2,-1,-1,-1,7.75,6.75,8,5.5,3,N1,,,,,,,,,,
35005280,3.6,-1,-1,-1,7.25,5.75,8.75,5,3.4,N1,,,,,,,,,,
35005281,6.4,-1,-1,-1,7,6.5,7.5,7.5,7.2,N1,,,,,,,,,,
35005282,6.6,7.5,8,4.5,-1,-1,-1,4.25,2.8,N1,,,,,,,,,,
35005283,7.2,-1,-1,-1,4,7.5,7.5,7.5,6.4,N1,,,,,,,,,,
35005284,7.8,-1,-1,-1,7.5,7,-1,6.5,-1,none,,,,,,,,,,
35005285,6.6,-1,-1,-1,5.75,6.75,7.25,3.75,4,N1,,,,,,,,,,
35005286,6.4,-1,-1,-1,4,5.5,5.5,5.5,3.2,N1,,,,,,,,,,
35005287,4.4,-1,-1,-1,5.75,5.5,-1,5,-1,none,,,,,,,,,,
35005288,2.2,-1,-1,-1,4.25,4.5,-1,2.25,-1,none,,,,,,,,,,
35005289,2.8,-1,-1,-1,7,7,-1,4,-1,none,,,,,,,,,,
35005290,4,-1,-1,-1,7.25,6.5,7,7.5,5.4,N1,,,,,,,,,,
35005291,6.8,-1,-1,-1,6,7.25,9.75,8.5,5,N1,,,,,,,,,,
35005292,6.6,-1,-1,-1,6.25,6.5,9,8,5.8,N1,,,,,,,,,,
35005293,7.6,7.75,7.25,4.5,-1,-1,-1,7.5,6.2,N1,,,,,,,,,,
35005294,7.6,-1,-1,-1,5.5,6.5,8.75,8,4.2,N1,,,,,,,,,,
35005295,4,-1,-1,-1,8.25,6.5,7.75,6.5,2.6,N1,,,,,,,,,,
35005296,7.6,8.25,8.25,4,-1,-1,-1,7,4.8,N1,,,,,,,,,,
35005297,8.2,7.25,8.25,3.75,-1,-1,-1,6.75,2.6,N1,,,,,,,,,,
35005298,7.4,5.75,8.25,4.75,-1,-1,-1,7.25,4.6,N1,,,,,,,,,,
35005299,9,7.5,8.5,4.5,-1,-1,-1,5,3.8,N1,,,,,,,,,,
35005300,5,-1,-1,-1,8,7.25,8.5,7.5,5.2,N1,,,,,,,,,,
35005301,5.8,-1,-1,-1,4.75,6.75,7.5,6,2.6,N1,,,,,,,,,,
35005302,4.2,-1,-1,-1,4.25,6.75,7.5,6.75,3.6,N1,,,,,,,,,,
35005303,6,-1,-1,-1,4.75,5.5,7.25,6.75,2.8,N1,,,,,,,,,,
35005304,2.4,-1,-1,-1,2.5,3.5,-1,2.25,-1,none,,,,,,,,,,
35005305,3.8,-1,-1,-1,3.25,1.75,-1,3.5,-1,none,,,,,,,,,,
35005306,6,-1,-1,-1,6.5,6.75,-1,7.5,-1,none,,,,,,,,,,
35005307,6.6,-1,-1,-1,7.25,8,8.5,7.25,4.4,N1,,,,,,,,,,
35005308,6.6,-1,-1,-1,6.25,5.75,6.75,4.25,2.6,N1,,,,,,,,,,
35005309,8.2,7,8.25,5.5,-1,-1,-1,7.75,7.2,N1,,,,,,,,,,
35005310,7.6,5,6,4,-1,-1,-1,5,3.6,N1,,,,,,,,,,
35005311,7.8,8.25,8,4.75,-1,-1,-1,7.5,4.8,N1,,,,,,,,,,
35005312,7.2,-1,-1,-1,6,5.5,5.75,7.25,3.4,N1,,,,,,,,,,
35005313,6.4,-1,-1,-1,2.5,4.5,-1,4.5,-1,none,,,,,,,,,,
35005314,5.4,4.75,5,3.25,-1,-1,-1,4.5,1.6,N1,,,,,,,,,,
35005315,7.6,6.25,5.25,3.5,-1,-1,-1,6,3.2,N1,,,,,,,,,,
35005316,4,-1,-1,-1,5.25,5.25,-1,4.5,-1,none,,,,,,,,,,
35005317,7.2,-1,-1,-1,7.75,7.75,8.5,7.5,3.4,N1,,,,,,,,,,
35005318,8.4,7.25,7.75,3.75,-1,-1,-1,7.5,5,N1,,,,,,,,,,
35005319,5.8,-1,-1,-1,4.25,4.75,-1,4.25,-1,none,,,,,,,,,,
35005320,7.6,-1,-1,-1,8.25,6.75,8.5,8.5,5.6,N1,,,,,,,,,,
35005321,6,-1,-1,-1,4,6,7.5,7.5,4.2,N1,,,,,,,,,,
35005322,4.2,-1,-1,-1,4,5,6.75,3.25,3.4,N1,,,,,,,,,,
35005323,7.6,-1,-1,-1,6,4.5,7.75,7,4.8,N1,,,,,,,,,,
35005324,8,8,5,3.25,-1,-1,-1,7.25,5.4,N1,,,,,,,,,,
35005325,7,-1,-1,-1,5.25,5.25,-1,2.5,-1,none,,,,,,,,,,
35005326,5.8,-1,-1,-1,5.25,4.75,5.5,7.25,4,N1,,,,,,,,,,
35005327,4.8,-1,-1,-1,6.25,6.5,8.25,4.5,3.6,N1,,,,,,,,,,
35005328,7.2,6.5,8.5,7.75,-1,-1,-1,8,7.4,N1,,,,,,,,,,
35005329,6.6,-1,-1,-1,6,7.5,7.75,8,5.4,N1,,,,,,,,,,
35005330,4.6,-1,-1,-1,6.75,5.75,6.25,7,5,N1,,,,,,,,,,
35005331,7.6,-1,-1,-1,6.25,5.5,8.5,7.5,6.8,N1,,,,,,,,,,
35005332,5.8,-1,-1,-1,4.25,6,7.25,7.25,4.4,N1,,,,,,,,,,
35005333,6.2,-1,-1,-1,3.75,6.25,7,4.25,3.8,N1,,,,,,,,,,
35005334,5,-1,-1,-1,4,4.5,-1,5,-1,none,,,,,,,,,,
35005335,8,6.25,7.25,3.25,-1,-1,-1,7,5.4,N1,,,,,,,,,,
35005336,4.2,-1,-1,-1,7,5.5,-1,5.75,-1,none,,,,,,,,,,
35005337,8.6,6.75,9,8.75,-1,-1,-1,8.5,9.2,N1,,,,,,,,,,
35005338,6.4,-1,-1,-1,7.5,5.75,8,5,5.4,N1,,,,,,,,,,
35005339,4.2,-1,-1,-1,5.75,5.5,-1,5,-1,none,,,,,,,,,,
35005340,8.2,6.25,4.25,4.25,-1,-1,-1,7,6.4,N1,,,,,,,,,,
35005341,4.8,-1,-1,-1,6,5.5,7.5,5.25,2,N1,,,,,,,,,,
35005342,2.6,-1,-1,-1,4.75,5,-1,3.75,-1,none,,,,,,,,,,
35005343,2.6,-1,-1,-1,4,4,-1,4.75,-1,none,,,,,,,,,,
35005344,7.4,6.5,4,5,-1,-1,-1,5.5,8.2,N1,,,,,,,,,,
35005345,4,-1,-1,-1,5,5.75,-1,2.75,-1,none,,,,,,,,,,
35005346,3.2,-1,-1,-1,6.75,6.5,-1,5.25,-1,none,,,,,,,,,,
35005347,9,8.5,8.75,4.25,-1,-1,-1,6.5,3.8,N1,,,,,,,,,,
35005348,7.4,-1,-1,-1,7.25,5.75,7.5,5.75,5.6,N1,,,,,,,,,,
35005349,7.4,-1,-1,-1,7.25,6.25,6.5,7.25,4.4,N1,,,,,,,,,,
35005350,7.6,-1,-1,-1,8.75,7,8.75,6.5,3.8,N1,,,,,,,,,,
35005351,8.2,7,7.75,4.25,-1,-1,-1,6.5,4,N1,,,,,,,,,,
35005352,5.2,-1,-1,-1,6.75,7.5,-1,2.25,-1,none,,,,,,,,,,
